,A,D,C,B,L,V,O,G,AA,AC,E,I,T,P,Q,J,N,M,Z,F,S,AB,W,K,U,H,Y,X,R,AD
A,0.0,4.0,6.0,7.0,7.0,1.0,3.0,5.0,6.0,6.0,2.0,2.0,4.0,6.0,6.0,7.0,5.0,7.0,3.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0
D,4.0,0.0,6.0,7.0,7.0,3.0,1.0,5.0,6.0,6.0,4.0,2.0,4.0,6.0,6.0,7.0,5.0,7.0,3.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0
C,6.0,6.0,0.0,7.0,7.0,5.0,5.0,1.0,6.0,6.0,6.0,4.0,2.0,4.0,2.0,7.0,5.0,7.0,3.0,5.0,3.0,4.0,6.0,6.0,4.0,7.0,7.0,7.0,7.0,8.0
B,7.0,7.0,7.0,0.0,4.0,6.0,6.0,6.0,1.0,3.0,7.0,5.0,5.0,7.0,7.0,2.0,2.0,4.0,4.0,4.0,6.0,3.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0
L,7.0,7.0,7.0,4.0,0.0,6.0,6.0,6.0,3.0,1.0,7.0,5.0,5.0,7.0,7.0,4.0,2.0,2.0,4.0,4.0,6.0,3.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0
V,1.0,3.0,5.0,6.0,6.0,0.0,2.0,4.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,6.0,4.0,6.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0
O,3.0,1.0,5.0,6.0,6.0,2.0,0.0,4.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,6.0,4.0,6.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0
G,5.0,5.0,1.0,6.0,6.0,4.0,4.0,0.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,6.0,4.0,6.0,2.0,4.0,2.0,3.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,7.0
AA,6.0,6.0,6.0,1.0,3.0,5.0,5.0,5.0,0.0,2.0,6.0,4.0,4.0,6.0,6.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0
AC,6.0,6.0,6.0,3.0,1.0,5.0,5.0,5.0,2.0,0.0,6.0,4.0,4.0,6.0,6.0,3.0,1.0,1.0,3.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0
E,2.0,4.0,6.0,7.0,7.0,1.0,3.0,5.0,6.0,6.0,0.0,2.0,4.0,6.0,6.0,7.0,5.0,7.0,3.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0
I,2.0,2.0,4.0,5.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,2.0,4.0,4.0,5.0,3.0,5.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0
T,4.0,4.0,2.0,5.0,5.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,5.0,3.0,5.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,6.0
P,6.0,6.0,4.0,7.0,7.0,5.0,5.0,3.0,6.0,6.0,6.0,4.0,2.0,0.0,4.0,7.0,5.0,7.0,3.0,5.0,1.0,4.0,6.0,6.0,2.0,7.0,7.0,7.0,7.0,8.0
Q,6.0,6.0,2.0,7.0,7.0,5.0,5.0,1.0,6.0,6.0,6.0,4.0,2.0,4.0,0.0,7.0,5.0,7.0,3.0,5.0,3.0,4.0,6.0,6.0,4.0,7.0,7.0,7.0,7.0,8.0
J,7.0,7.0,7.0,2.0,4.0,6.0,6.0,6.0,1.0,3.0,7.0,5.0,5.0,7.0,7.0,0.0,2.0,4.0,4.0,4.0,6.0,3.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0
N,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0
M,7.0,7.0,7.0,4.0,2.0,6.0,6.0,6.0,3.0,1.0,7.0,5.0,5.0,7.0,7.0,4.0,2.0,0.0,4.0,4.0,6.0,3.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0
Z,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,0.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0
F,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0
S,5.0,5.0,3.0,6.0,6.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,1.0,1.0,3.0,6.0,4.0,6.0,2.0,4.0,0.0,3.0,5.0,5.0,1.0,6.0,6.0,6.0,6.0,7.0
