,G,S,Y,AB,D,AB,AI,AB,Y,O,L,C,AA,C,L,I,J,I,L,O,Y,S,E,S,G
G,0,1,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,4,3,2,1,2,1,0
S,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1
Y,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2
AB,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3
D,4,3,2,1,0,1,2,1,2,3,4,5,6,5,4,5,6,5,4,3,2,3,4,3,4
AB,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3
AI,4,3,2,1,2,1,0,1,2,3,4,5,6,5,4,5,6,5,4,3,2,3,4,3,4
AB,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3
Y,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2
O,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,3,2,1,0,1,2,3,2,3
L,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4
C,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5
AA,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6
C,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5
L,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4
I,5,4,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1,2,3,4,5,4,5
J,6,5,4,5,6,5,6,5,4,3,2,3,4,3,2,1,0,1,2,3,4,5,6,5,6
I,5,4,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1,2,3,4,5,4,5
L,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4
O,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,3,2,1,0,1,2,3,2,3
Y,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2
S,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1
E,2,1,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,4,3,2,1,0,1,2
S,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1
G,0,1,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,4,3,2,1,2,1,0
