,S,Y,O,L,I,J,I,L,C,AA,C,L,O,Y,AB,D,AB,AI,AB,Y,S,E,S,G,S
S,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
Y,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
O,2,1,0,1,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2
L,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
I,4,3,2,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
J,5,4,3,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
I,4,3,2,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
L,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
C,4,3,2,1,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
AA,5,4,3,2,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5
C,4,3,2,1,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
L,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
O,2,1,0,1,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2
Y,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
AB,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
D,3,2,3,4,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3
AB,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
AI,3,2,3,4,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3
AB,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
Y,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
S,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
E,1,2,3,4,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1
S,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
G,1,2,3,4,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1
S,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
