,I,J,I,L,C,AA,C,L,O,Y,AB,AI,AB,D,AB,Y,S,E,S,G,S,Y,O,L,I
I,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
J,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1
I,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
L,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
C,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
AA,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3
C,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
L,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
O,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
Y,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
AB,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
AI,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5
AB,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
D,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5
AB,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
Y,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
S,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
E,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5
S,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
G,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5
S,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
Y,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
O,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
L,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
I,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
