,Y,O,L,C,AA,C,L,I,J,I,L,O,Y,AB,AI,AB,D,AB,Y,S,G,S,E,S,Y
Y,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
O,1,0,1,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1
L,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2
C,3,2,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
AA,4,3,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4
C,3,2,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
L,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2
I,3,2,1,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
J,4,3,2,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4
I,3,2,1,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
L,2,1,0,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2
O,1,0,1,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1
Y,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
AB,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1
AI,2,3,4,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2
AB,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1
D,2,3,4,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2
AB,1,2,3,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1
Y,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
S,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1
G,2,3,4,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
S,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1
E,2,3,4,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2
S,1,2,3,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1
Y,0,1,2,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
