,A,B,H,AC,T,Q,D,AA,M,C,L,N,O,I,G,E,AB,J,X,K,W,V,S,P,R,F,AD,Y,Z,U
A,0.0,6.0,3.0,1.0,1.0,1.0,3.0,7.0,5.0,7.0,7.0,2.0,2.0,4.0,4.0,6.0,6.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0
B,6.0,0.0,7.0,7.0,7.0,5.0,3.0,1.0,1.0,1.0,3.0,6.0,4.0,6.0,2.0,4.0,2.0,7.0,5.0,7.0,7.0,3.0,5.0,3.0,6.0,4.0,7.0,7.0,5.0,5.0
H,3.0,7.0,0.0,4.0,4.0,2.0,4.0,8.0,6.0,8.0,8.0,1.0,3.0,5.0,5.0,7.0,7.0,2.0,4.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,6.0,6.0,8.0,8.0
AC,1.0,7.0,4.0,0.0,2.0,2.0,4.0,8.0,6.0,8.0,8.0,3.0,3.0,5.0,5.0,7.0,7.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,6.0,6.0,8.0,8.0
T,1.0,7.0,4.0,2.0,0.0,2.0,4.0,8.0,6.0,8.0,8.0,3.0,3.0,5.0,5.0,7.0,7.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,6.0,6.0,8.0,8.0
Q,1.0,5.0,2.0,2.0,2.0,0.0,2.0,6.0,4.0,6.0,6.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,3.0,5.0,4.0,4.0,6.0,6.0
D,3.0,3.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
AA,7.0,1.0,8.0,8.0,8.0,6.0,4.0,0.0,2.0,2.0,4.0,7.0,5.0,7.0,3.0,5.0,3.0,8.0,6.0,8.0,8.0,4.0,6.0,4.0,7.0,5.0,8.0,8.0,6.0,6.0
M,5.0,1.0,6.0,6.0,6.0,4.0,2.0,2.0,0.0,2.0,2.0,5.0,3.0,5.0,1.0,3.0,1.0,6.0,4.0,6.0,6.0,2.0,4.0,2.0,5.0,3.0,6.0,6.0,4.0,4.0
C,7.0,1.0,8.0,8.0,8.0,6.0,4.0,2.0,2.0,0.0,4.0,7.0,5.0,7.0,3.0,5.0,3.0,8.0,6.0,8.0,8.0,4.0,6.0,4.0,7.0,5.0,8.0,8.0,6.0,6.0
