,W,AD,O,B,O,Q,O,AD,G,X,G,C,G,AD,W,Y,M,P,M,I,M,Y,T,D,S,D,K,D,T,AB,Z,AB
W,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,4,3,4,3,2,3,4,3
AD,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,5,4,3,4,5,4
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,6,5,4,5,6,5
B,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,7,6,7,6,5,6,7,6
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,6,5,4,5,6,5
Q,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,7,6,7,6,5,6,7,6
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,6,5,4,5,6,5
AD,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,5,4,3,4,5,4
G,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,6,5,4,5,6,5
X,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,7,6,7,6,5,6,7,6
G,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,6,5,4,5,6,5
C,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,7,6,7,6,5,6,7,6
G,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,6,5,4,5,6,5
AD,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,5,4,3,4,5,4
W,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,4,3,4,3,2,3,4,3
Y,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,2,3,2
M,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,3,4,3
P,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,5,4,5,4,3,4,5,4
M,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,3,4,3
I,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4
M,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,3,4,3
Y,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,2,3,2
T,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2,1
D,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3,2
S,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,2,3,4,3
D,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3,2
K,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,2,3,4,3
D,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3,2
T,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2,1
AB,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,3,2,3,2,1,0,1,0
Z,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5,4,3,2,3,4,3,4,3,2,1,0,1
AB,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,3,2,3,2,1,0,1,0
