,S,D,K,D,T,AB,Z,AB,T,Y,M,I,M,P,M,Y,W,AD,G,X,G,C,G,AD,O,Q,O,B,O,AD,W,Y
S,0,1,2,1,2,3,4,3,2,3,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3
D,1,0,1,0,1,2,3,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2
K,2,1,0,1,2,3,4,3,2,3,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3
D,1,0,1,0,1,2,3,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2
T,2,1,2,1,0,1,2,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1
AB,3,2,3,2,1,0,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2
Z,4,3,4,3,2,1,0,1,2,3,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3
AB,3,2,3,2,1,0,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2
T,2,1,2,1,0,1,2,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1
Y,3,2,3,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0
M,4,3,4,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1
I,5,4,5,4,3,4,5,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2
M,4,3,4,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1
P,5,4,5,4,3,4,5,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2
M,4,3,4,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1
Y,3,2,3,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0
W,4,3,4,3,2,3,4,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1
AD,5,4,5,4,3,4,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
G,6,5,6,5,4,5,6,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
X,7,6,7,6,5,6,7,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4
G,6,5,6,5,4,5,6,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
C,7,6,7,6,5,6,7,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4
G,6,5,6,5,4,5,6,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
AD,5,4,5,4,3,4,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
O,6,5,6,5,4,5,6,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
Q,7,6,7,6,5,6,7,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4
O,6,5,6,5,4,5,6,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
B,7,6,7,6,5,6,7,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4
O,6,5,6,5,4,5,6,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
AD,5,4,5,4,3,4,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
W,4,3,4,3,2,3,4,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1
Y,3,2,3,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0
