,A,B,C,F,Q,E,H,U,Y,O,P,K,N,W,D,I,T,X,S,AC,J,R,V,M,G,L,AD,AA,Z,AB
A,0.0,6.0,4.0,1.0,1.0,7.0,7.0,3.0,1.0,7.0,7.0,5.0,3.0,5.0,7.0,5.0,5.0,6.0,6.0,2.0,4.0,2.0,6.0,4.0,7.0,5.0,7.0,3.0,3.0,7.0
B,6.0,0.0,6.0,7.0,7.0,5.0,5.0,7.0,5.0,1.0,1.0,1.0,5.0,7.0,3.0,7.0,7.0,4.0,4.0,6.0,2.0,4.0,2.0,6.0,5.0,3.0,5.0,7.0,3.0,3.0
C,4.0,6.0,0.0,5.0,5.0,7.0,7.0,5.0,3.0,7.0,7.0,5.0,1.0,1.0,7.0,3.0,1.0,6.0,6.0,4.0,4.0,2.0,6.0,2.0,7.0,5.0,7.0,5.0,3.0,7.0
F,1.0,7.0,5.0,0.0,2.0,8.0,8.0,4.0,2.0,8.0,8.0,6.0,4.0,6.0,8.0,6.0,6.0,7.0,7.0,3.0,5.0,3.0,7.0,5.0,8.0,6.0,8.0,4.0,4.0,8.0
Q,1.0,7.0,5.0,2.0,0.0,8.0,8.0,4.0,2.0,8.0,8.0,6.0,4.0,6.0,8.0,6.0,6.0,7.0,7.0,3.0,5.0,3.0,7.0,5.0,8.0,6.0,8.0,4.0,4.0,8.0
E,7.0,5.0,7.0,8.0,8.0,0.0,4.0,8.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,8.0,8.0,1.0,3.0,7.0,3.0,5.0,5.0,7.0,2.0,2.0,4.0,8.0,4.0,6.0
H,7.0,5.0,7.0,8.0,8.0,4.0,0.0,8.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,8.0,8.0,3.0,1.0,7.0,3.0,5.0,5.0,7.0,4.0,2.0,2.0,8.0,4.0,6.0
U,3.0,7.0,5.0,4.0,4.0,8.0,8.0,0.0,2.0,8.0,8.0,6.0,4.0,6.0,8.0,6.0,6.0,7.0,7.0,1.0,5.0,3.0,7.0,5.0,8.0,6.0,8.0,2.0,4.0,8.0
Y,1.0,5.0,3.0,2.0,2.0,6.0,6.0,2.0,0.0,6.0,6.0,4.0,2.0,4.0,6.0,4.0,4.0,5.0,5.0,1.0,3.0,1.0,5.0,3.0,6.0,4.0,6.0,2.0,2.0,6.0
O,7.0,1.0,7.0,8.0,8.0,6.0,6.0,8.0,6.0,0.0,2.0,2.0,6.0,8.0,4.0,8.0,8.0,5.0,5.0,7.0,3.0,5.0,3.0,7.0,6.0,4.0,6.0,8.0,4.0,4.0
P,7.0,1.0,7.0,8.0,8.0,6.0,6.0,8.0,6.0,2.0,0.0,2.0,6.0,8.0,4.0,8.0,8.0,5.0,5.0,7.0,3.0,5.0,3.0,7.0,6.0,4.0,6.0,8.0,4.0,4.0
K,5.0,1.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,2.0,2.0,0.0,4.0,6.0,2.0,6.0,6.0,3.0,3.0,5.0,1.0,3.0,1.0,5.0,4.0,2.0,4.0,6.0,2.0,2.0
N,3.0,5.0,1.0,4.0,4.0,6.0,6.0,4.0,2.0,6.0,6.0,4.0,0.0,2.0,6.0,2.0,2.0,5.0,5.0,3.0,3.0,1.0,5.0,1.0,6.0,4.0,6.0,4.0,2.0,6.0
W,5.0,7.0,1.0,6.0,6.0,8.0,8.0,6.0,4.0,8.0,8.0,6.0,2.0,0.0,8.0,4.0,2.0,7.0,7.0,5.0,5.0,3.0,7.0,3.0,8.0,6.0,8.0,6.0,4.0,8.0
D,7.0,3.0,7.0,8.0,8.0,6.0,6.0,8.0,6.0,4.0,4.0,2.0,6.0,8.0,0.0,8.0,8.0,5.0,5.0,7.0,3.0,5.0,1.0,7.0,6.0,4.0,6.0,8.0,4.0,2.0
I,5.0,7.0,3.0,6.0,6.0,8.0,8.0,6.0,4.0,8.0,8.0,6.0,2.0,4.0,8.0,0.0,4.0,7.0,7.0,5.0,5.0,3.0,7.0,1.0,8.0,6.0,8.0,6.0,4.0,8.0
T,5.0,7.0,1.0,6.0,6.0,8.0,8.0,6.0,4.0,8.0,8.0,6.0,2.0,2.0,8.0,4.0,0.0,7.0,7.0,5.0,5.0,3.0,7.0,3.0,8.0,6.0,8.0,6.0,4.0,8.0
X,6.0,4.0,6.0,7.0,7.0,1.0,3.0,7.0,5.0,5.0,5.0,3.0,5.0,7.0,5.0,7.0,7.0,0.0,2.0,6.0,2.0,4.0,4.0,6.0,1.0,1.0,3.0,7.0,3.0,5.0
S,6.0,4.0,6.0,7.0,7.0,3.0,1.0,7.0,5.0,5.0,5.0,3.0,5.0,7.0,5.0,7.0,7.0,2.0,0.0,6.0,2.0,4.0,4.0,6.0,3.0,1.0,1.0,7.0,3.0,5.0
AC,2.0,6.0,4.0,3.0,3.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,3.0,5.0,7.0,5.0,5.0,6.0,6.0,0.0,4.0,2.0,6.0,4.0,7.0,5.0,7.0,1.0,3.0,7.0
J,4.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,3.0,1.0,3.0,5.0,1.0,3.0
R,2.0,4.0,2.0,3.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,1.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,4.0,2.0,5.0,3.0,5.0,3.0,1.0,5.0
V,6.0,2.0,6.0,7.0,7.0,5.0,5.0,7.0,5.0,3.0,3.0,1.0,5.0,7.0,1.0,7.0,7.0,4.0,4.0,6.0,2.0,4.0,0.0,6.0,5.0,3.0,5.0,7.0,3.0,1.0
M,4.0,6.0,2.0,5.0,5.0,7.0,7.0,5.0,3.0,7.0,7.0,5.0,1.0,3.0,7.0,1.0,3.0,6.0,6.0,4.0,4.0,2.0,6.0,0.0,7.0,5.0,7.0,5.0,3.0,7.0
G,7.0,5.0,7.0,8.0,8.0,2.0,4.0,8.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,8.0,8.0,1.0,3.0,7.0,3.0,5.0,5.0,7.0,0.0,2.0,4.0,8.0,4.0,6.0
L,5.0,3.0,5.0,6.0,6.0,2.0,2.0,6.0,4.0,4.0,4.0,2.0,4.0,6.0,4.0,6.0,6.0,1.0,1.0,5.0,1.0,3.0,3.0,5.0,2.0,0.0,2.0,6.0,2.0,4.0
AD,7.0,5.0,7.0,8.0,8.0,4.0,2.0,8.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,8.0,8.0,3.0,1.0,7.0,3.0,5.0,5.0,7.0,4.0,2.0,0.0,8.0,4.0,6.0
AA,3.0,7.0,5.0,4.0,4.0,8.0,8.0,2.0,2.0,8.0,8.0,6.0,4.0,6.0,8.0,6.0,6.0,7.0,7.0,1.0,5.0,3.0,7.0,5.0,8.0,6.0,8.0,0.0,4.0,8.0
Z,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,0.0,4.0
AB,7.0,3.0,7.0,8.0,8.0,6.0,6.0,8.0,6.0,4.0,4.0,2.0,6.0,8.0,2.0,8.0,8.0,5.0,5.0,7.0,3.0,5.0,1.0,7.0,6.0,4.0,6.0,8.0,4.0,0.0
