,H,AC,Y,AB,B,M,B,AB,V,G,V,F,V,AB,Y,AE,A,AH,T,AH,AG,AH,A,X,Q,X,D,X,A,AE,Y,AC,C,AC,H
H,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0
AC,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
Y,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
AB,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3
B,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
M,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5
B,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
AB,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3
V,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
G,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5
V,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
F,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5
V,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
AB,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3
Y,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
AE,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3
A,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4
AH,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5
T,6,5,4,5,6,7,6,5,6,7,6,7,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6
AH,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5
AG,6,5,4,5,6,7,6,5,6,7,6,7,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6
AH,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5
A,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4
X,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5
Q,6,5,4,5,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6
X,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5
D,6,5,4,5,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6
X,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5
A,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4
AE,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3
Y,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
AC,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
C,2,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2
AC,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
H,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0
