,C,AC,Y,AE,A,AH,T,AH,AG,AH,A,X,Q,X,D,X,A,AE,Y,AB,B,M,B,AB,V,F,V,G,V,AB,Y,AC
C,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1
AC,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0
Y,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
AE,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2
A,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3
AH,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
T,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
AH,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
AG,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
AH,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
A,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3
X,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
Q,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
X,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
D,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
X,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
A,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3
AE,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2
Y,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
AB,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
B,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3
M,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4
B,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3
AB,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
V,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
F,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4
V,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
G,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4
V,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
AB,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
Y,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
AC,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0
