,AC,H,AC,C,AC,Y,AE,A,AH,T,AH,AG,AH,A,X,D,X,Q,X,A,AE,Y,AB,B,M,B,AB,V,F,V,G,V,AB,Y,AC
AC,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0
H,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1
AC,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0
C,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1
AC,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0
Y,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
AE,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2
A,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3
AH,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
T,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
AH,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
AG,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
AH,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
A,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3
X,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
D,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
X,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
Q,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5
X,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4
A,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3
AE,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2
Y,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
AB,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
B,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3
M,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4
B,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3
AB,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
V,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
F,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4
V,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
G,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4
V,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
AB,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
Y,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
AC,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0
